"","radtime","narrow.band","qrad.narrow","wide.band","qrad.wide"
"2713",22.11,2.38668000000006e-08,0.000904551720000021,5.08537679999998e-07,0.295728786966665
"2714",22.12,0,0,5.08537679999998e-07,0.295728786966665
"2715",22.13,2.446347e-07,0.00927165513000001,7.52557679999999e-07,0.437633195299999
"2716",22.14,2.267346e-07,0.00859324134,7.52557679999999e-07,0.437633195299999
"2717",22.15,2.446347e-07,0.00927165513000001,7.52557679999999e-07,0.437633195299999
"2718",22.16,0,0,-2.83063200000005e-08,-0.0164609113666669
"2719",22.17,0,0,-2.83063200000005e-08,-0.0164609113666669
"2720",22.18,0,0,-2.83063200000005e-08,-0.0164609113666669
"2721",22.19,0,0,-2.83063200000005e-08,-0.0164609113666669
"2722",22.2,0,0,-2.83063200000005e-08,-0.0164609113666669
"2723",22.21,0,0,-2.83063200000005e-08,-0.0164609113666669
"2724",22.22,0,0,-2.83063200000005e-08,-0.0164609113666669
"2725",22.23,0,0,-2.83063200000005e-08,-0.0164609113666669
"2726",22.24,0,0,-2.83063200000005e-08,-0.0164609113666669
"2727",22.25,0,0,-2.83063200000005e-08,-0.0164609113666669
"2728",22.26,0,0,-2.83063200000005e-08,-0.0164609113666669
"2729",22.27,0,0,-2.83063200000005e-08,-0.0164609113666669
"2730",22.28,0,0,-2.83063200000005e-08,-0.0164609113666669
"2731",22.29,0,0,-2.83063200000005e-08,-0.0164609113666669
"2732",22.3,0,0,-2.83063200000005e-08,-0.0164609113666669
"2733",22.31,0,0,-2.83063200000005e-08,-0.0164609113666669
"2734",22.32,0,0,-2.83063200000005e-08,-0.0164609113666669
"2735",22.33,0,0,-2.83063200000005e-08,-0.0164609113666669
"2736",22.34,0,0,-2.83063200000005e-08,-0.0164609113666669
"2737",22.35,0,0,-2.83063200000005e-08,-0.0164609113666669
"2738",22.36,0,0,-2.83063200000005e-08,-0.0164609113666669
"2739",22.37,0,0,-2.83063200000005e-08,-0.0164609113666669
"2740",22.38,0,0,-2.83063200000005e-08,-0.0164609113666669
"2741",22.39,0,0,-2.83063200000005e-08,-0.0164609113666669
"2742",22.4,0,0,-2.83063200000005e-08,-0.0164609113666669
"2743",22.41,0,0,-2.83063200000005e-08,-0.0164609113666669
"2744",22.42,0,0,-2.83063200000005e-08,-0.0164609113666669
"2745",22.43,0,0,-2.83063200000005e-08,-0.0164609113666669
"2746",22.44,0,0,-2.83063200000005e-08,-0.0164609113666669
"2747",22.45,0,0,-2.83063200000005e-08,-0.0164609113666669
"2748",22.46,0,0,-2.83063200000005e-08,-0.0164609113666669
"2749",22.47,0,0,-2.83063200000005e-08,-0.0164609113666669
"2750",22.48,0,0,-2.83063200000005e-08,-0.0164609113666669
"2751",22.49,0,0,-2.83063200000005e-08,-0.0164609113666669
"2752",22.5,0,0,-2.83063200000005e-08,-0.0164609113666669
"2753",22.51,0,0,-2.83063200000005e-08,-0.0164609113666669
"2754",22.52,0,0,-2.83063200000005e-08,-0.0164609113666669
"2755",22.53,0,0,-2.83063200000005e-08,-0.0164609113666669
"2756",22.54,0,0,-2.83063200000005e-08,-0.0164609113666669
"2757",22.55,0,0,-2.83063200000005e-08,-0.0164609113666669
"2758",22.56,0,0,-2.83063200000005e-08,-0.0164609113666669
"2759",22.57,3.043017e-07,0.01153303443,8.01361680000002e-07,0.466014076966668
"2760",22.58,4.594359e-07,0.01741262061,9.9657768e-07,0.579537603633333
"2761",22.59,2.98335000000001e-08,0.00113068965,5.57341680000001e-07,0.324109668633334
"2762",22.6,2.14801199999999e-07,0.00814096547999997,7.52557679999999e-07,0.437633195299999
"2763",22.61,2.20767900000001e-07,0.00836710341000002,7.52557679999999e-07,0.437633195299999
"2764",22.62,0,0,-2.83063200000005e-08,-0.0164609113666669
"2765",22.63,0,0,-2.83063200000005e-08,-0.0164609113666669
"2766",22.64,0,0,4.10929679999999e-07,0.238967023633333
"2767",22.65,5.37002999999998e-08,0.00203524136999999,5.57341680000001e-07,0.324109668633334
"2768",22.66,0,0,5.08537679999998e-07,0.295728786966665
"2769",22.67,0,0,5.08537679999998e-07,0.295728786966665
"2770",22.68,2.14801199999999e-07,0.00814096547999997,7.52557679999999e-07,0.437633195299999
"2771",22.69,2.20767900000001e-07,0.00836710341000002,7.52557679999999e-07,0.437633195299999
"2772",22.7,2.14801199999999e-07,0.00814096547999997,7.52557679999999e-07,0.437633195299999
"2773",22.71,0,0,-2.83063200000005e-08,-0.0164609113666669
"2774",22.72,0,0,-2.83063200000005e-08,-0.0164609113666669
"2775",22.73,0,0,-2.83063200000005e-08,-0.0164609113666669
"2776",22.74,0,0,-2.83063200000005e-08,-0.0164609113666669
"2777",22.75,0,0,-2.83063200000005e-08,-0.0164609113666669
"2778",22.76,0,0,-2.83063200000005e-08,-0.0164609113666669
"2779",22.77,0,0,-2.83063200000005e-08,-0.0164609113666669
"2780",22.78,0,0,-2.83063200000005e-08,-0.0164609113666669
"2781",22.79,0,0,-2.83063200000005e-08,-0.0164609113666669
