expname,fuel,p,do,fiber,O2,He,CO2,N2,H2O,Hep,Methanol,Xe,D,tdelay,tofc
X126H01,Heptane,1,3.643,No,0.16,0,0,0.59,0,0,0,0.25,0,0,0
X126H02,Heptane,1,3.673,No,0.16,0,0,0.59,0,0,0,0.25,0,0,0
X126H04,Heptane,1,1.757,No,0.16,0,0,0.59,0,0,0,0.25,0,0,0
X126H05,Heptane,1,1.744,No,0.16,0,0,0.59,0,0,0,0.25,0,0,0
X126H06,Heptane,1,3.524,No,0.15,0,0,0.55,0,0,0,0.3,0,0,0
X126H07,Heptane,1,1.706,No,0.15,0,0,0.55,0,0,0,0.3,0,0,0
X129H01,Heptane,1,2.633,No,0.14,0,0,0.51,0,0,0,0.35,0,0,0
X129H02,Heptane,1,1.919,No,0.14,0,0,0.51,0,0,0,0.35,0,0,0
X129H03,Heptane,1,2.672,No,0.14,0,0,0.51,0,0,0,0.35,0,0,0
X129M04,Methanol,1,2.076,No,0.14,0,0,0.51,0,0,0,0.35,0,0,0
X129M05,Methanol,1,2.171,No,0.14,0,0,0.51,0,0,0,0.35,0,0,0
X136M01,Methanol,1,3.233,No,0.13,0,0,0.47,0,0,0,0.4,0,0,0
X136M03,Methanol,1,2.736,No,0.13,0,0,0.47,0,0,0,0.4,0,0,0
X144M01,Methanol,1,3.523,No,0.12,0,0,0.43,0,0,0,0.45,0,0,0
X140H02,Heptane,1,2.413,No,0.13,0,0,0.47,0,0,0,0.4,0,0,0
X140H04,Heptane,1,1.45,No,0.13,0,0,0.47,0,0,0,0.4,0,0,0
X140H05,Heptane,1,2.371,No,0.12,0,0,0.43,0,0,0,0.45,0,0,0
X140H06,Heptane,1,1.353,No,0.12,0,0,0.43,0,0,0,0.45,0,0,0
X144H01,Heptane,1,2.338,No,0.11,0,0,0.39,0,0,0,0.5,0,0,0
X144H02,Heptane,1,1.84,No,0.11,0,0,0.39,0,0,0,0.5,0,0,0
X144M02,Methanol,1,2.597,No,0.12,0,0,0.43,0,0,0,0.45,0,0,0
X144M04,Methanol,1,3.499,No,0.11,0,0,0.39,0,0,0,0.5,0,0,0
X144M05,Methanol,1,2.593,No,0.11,0,0,0.39,0,0,0,0.5,0,0,0
X144M06,Methanol,1,3.526,No,0.11,0,0,0.39,0,0,0,0.5,0,0,0
X161H01,Heptane,0.7,4.276,No,0.21,0,0,0.49,0,0,0,0.3,0,0,0
X161H02,Heptane,0.7,,No,0.21,0,0,0.49,0,0,0,0.3,0,0,0
X149M01,Methanol,1,2.949,No,0.1,0,0,0.35,0,0,0,0.55,0,0,0
X149M02,Methanol,1,3.719,No,0.1,0,0,0.35,0,0,0,0.55,0,0,0
X149M03,Methanol,1,2.843,No,0.1,0,0,0.35,0,0,0,0.55,0,0,0
X161M02,Methanol,0.7,3.919,No,0.21,0,0,0.49,0,0,0,0.3,0,0,0
X161M03,Methanol,0.7,3.059,No,0.21,0,0,0.49,0,0,0,0.3,0,0,0
X161M04,Methanol,1,1.982,No,0.09,0,0,0.33,0,0,0,0.58,0,0,0
X161M05,Methanol,1,2.655,No,0.09,0,0,0.33,0,0,0,0.58,0,0,0
X163M01,Methanol,1,2.121,No,0.08,0,0,0.29,0,0,0,0.63,0,0,0
X163M02,Methanol,1,2.575,No,0.08,0,0,0.29,0,0,0,0.63,0,0,0
X163M03,Methanol,1,2.742,No,0.08,0,0,0.29,0,0,0,0.63,0,0,0
X163M04,Methanol,1,2.376,No,0.07,0,0,0.26,0,0,0,0.67,0,0,0
X163M06,Methanol,1,1.658,No,0.07,0,0,0.27,0,0,0,0.67,0,0,0
X170H03,Heptane,0.7,3.257,No,0.14,0,0,0.33,0,0,0,0.53,0,0,0
X163M07,Methanol,1,1.646,No,0.07,0,0,0.27,0,0,0,0.67,0,0,0
X168M01,Methanol,1,2.891,No,0.07,0,0,0.25,0,0,0,0.69,0,0,0
X168M02,Methanol,1,2.142,No,0.07,0,0,0.25,0,0,0,0.69,0,0,0
